Vietnamese,Bahnar
"""bao đam an ninh chĭnh trĭ, trâ̆t tư̆ an toan xa hô̆i bĭ ăn lach điêm tơnŏ, dui kơđeh trŏng an, kim chê̆ tô̆i pham, tai nan giao thông dui kơđeh so adring xơnăm 'bal hbâu minh jĭt pơđăm, pơjao kuân đat chi tiêu lach.","Bảo đảm an ninh chính trị, trật tự an toàn xã hội không để xảy ra điểm nóng, giảm trọng án, kìm chế tội phạm, tai nạn giao thông giảm so với năm 2015, giao quân đạt chỉ tiêu đề ra."
'Ban Pêng 'nâu 'nhŏng,Một vài anh
'Ban koan ly̆ lich sư -  văn hŏa xưm yanh lam thăng kanh tinh 'Binh Đĭnh (Chih tăt 'nĕi 'Ban koan ly̆ Yi tich),Ban Quản lý Di tích lịch sử - văn hóa và danh lam thắng cảnh tỉnh Bình Định (Viết tắt là Ban Quản lý Di tích)
"'Bang nghiêm thu, 'bang thanh li hơp đông păng 'bang kuyêt toan đei yuêt dĭ kơpal đâu tư adrĭng khôi lươ̆ng tơgǔm pơm chơ đêh têh bal, keh kong tơdrong trong xe, thuy lơi nôi đông, tơdrong ǔnh rang tơgǔm choh jang nông nghiêp;","Bảng nghiệm thu; bảng thanh lý hợp đồng và bảng quyết toán được duyệt của chủ đầu tư đối với khối lượng đầu tư cải tạo đồng ruộng, hoàn thiện hệ thống giao thông, thủy lợi nội đồng, hệ thống điện phục vụ sản xuất nông nghiệp;"
'Bar 'nu hơ ioh hnam trương,Hai học sinh
'Bar hlah 'long pit,Hai cây chuối
'Bar tŏ 'long pit,Hai cây chuối
'Bar tŏ kơ pô,Hai con trâu
"'Bar tơ ning, 'năr đim lĕch ĭnh jâh năm bơih","Ngày mai, mặt trời chưa mọc tôi đã đi rồi"
'Bar xâp hla bơar 'bak 'nâu dĭ mai,Hai tập giấy trắng này của chị
"'Bar, pêng 'nu 'nhŏng",Một vài anh
'Binh Đinh hăm ơí bơngai,Bình Định có người Gia rai
'Boi Kuyêt đĭnh sô 731/ QĐ- BNN-QLCL 'năr 06 khĕi 3 sơnăm 2019 dĭ 'Bô Khul 'Bô Nông nghiêp păng  phat triên nông thôn ( Phu luk 01 kem tĭa),Theo Quyết định số 751/QĐ-BNN-QLCL ngày 06/3/2019 của Bộ trưởng Bộ Nông nghiệp và Phát triển nông thôn (Phụ lục 01 kèm theo).
'Bok 'yĕm 'nhŏng,Ông của các anh
'Bok ayơĭ 'mi,Trời không mưa
'Bok iĕm 'nhŏng,Ông của các anh
'Bok jê̆ 'mi,Trời sắp mưa
"'Bok kmi đâng kơ xâ abi, trŭh ahreĭ ară 'mi","Trời mưa từ chiều qua, bây giờ vẫn còn mưa"
'Bok kră nŏh bui,Ông già tính tình vui vẽ
'Bok plănh tơngiêt ĭnh kŭng năm pơm,"Tuy trời lạnh, tôi vẫn đi làm"
'Bok vă 'mi,Trời sẽ mưa
'Bă năm tơ bri kŏh 'long,Cha lên rừng chặt cây
'Bă oeĭ hep thuôk,Cha ngồi hút thuốc
'Bă oĕi hĕp thuôk,Cha ngồi hút thuốc
'Bă đim trŭh tơ hngam yĭh xơhnăm,Bà chưa đến 80 tuổi
'Bă đim xưh,Cha chưa về
'Bă đim xưt,Cha chưa về
'Bă ĭnh,Cha của tôi
"'Bă ĭnh năm tơ bri , ĭnh oeĭ hnam",Cha tôi đi rừng còn tôi ở nhà
'Bĭch kơ mung,Nằm màn
'Bĭch kơ mŭng,Nằm màn
'Long pơtăm tơgum,Cây trồng bổ sung
'Măng dur,Cổng trước
'Naĭ chơ hngĕi ĭnh văn năm pơm,"Tuy trời lạnh, tôi vẫn đi làm"
'Ngŏh 'nao xĭn,Cơm vừa chín
'Nhŏng 'nŏh prăh đeĭ mĭnh tơ xem,Anh ấy bắn được một con chim
'Nhŏng apĭnh bu ?,Anh hỏi ai ?
'Nhŏng chă yư̆ng ?,Anh tìm cái gì ?
'Nhŏng hơ,Anh của nó
'Nhŏng năm kơdrong mă 'lâng hŏ !,Anh đi đường bình an nhé!
'Nhŏng năm lăng ĭnh năm,Anh đi hay tôi đi ?
'Nhŏng năm rơng kuă ?,Anh đi chơi không ?
"'Nhŏng năm tơ như , ĭnh năm tĭa","Anh đi đâu, tôi đi đấy"
'Nhŏng năm tơ như ?,Anh đi đâu ?
"'Nhŏng năm tơ như, inh năm trŭh toĕi","Anh đi đâu, tôi đi đấy"
"'Nhŏng năm xơ manh, oeĭ hnam ?",Anh đi chơi hay ở nhà ?
"'Nhŏng năm, ĭnh năm ?",Anh đi hay tôi đi ?
"'Nhŏng oĕi hnam, hăm vă năm ngôi",Anh đi chơi hay ở nhà ?
'Nhŏng pơ deĭ bơĭ,Anh nên nghỉ ngơi
'Nhŏng trŭh kơ xâ abi,Anh ấy đến chiều qua
'Nhŏng xa ngŏh đim ?,Anh ăn cơm chưa ?
'Nhŏng ăn ĭnh sâp hla Săch,Anh cho tôi quyển sách
'Nhŭng 'bĭch lâm kơdron,Con lợn nằm trong chuồng
'Nhŭng 'mŭt ( bek ),Con lợn béo
'Nâu hnam ĭnh,Đây là nhà tôi
'Nâu lăh hnam ĭnh,Đây là nhà tôi
'Nâu tơ nâu ruông 'ba,Ở đây là ruộng
'Năr adrâu jŏh tơrŭh tết,Hôm nay là ngày tết
'Năr adrơu thữ yưng? (thữ,Hôm nay thứ mấy? (thứ tư...)
'Năr dơning 'nhŏng 'neĭ trŭh,Ngày mai anh ấy đến
'Năr ning ĭnh pơm xong tơdrong ‘neĭ,Ngày mai tôi sẽ làm xong việc ấy
'Năr tơ muônh kămhơ trŭh,Ngày kia họ đến
'bal 'nu 'nhồng oh pre,hai anh em ấy
'bal 'nu yă 'bok,hai ông bà
"'bal hlak đak, 'bal tồ kông...","hai con suối, hai ngọn núi"
'bal to dơnol,một cái gùi
'ban đe hơ 'yŏh hnam trương,Hai học sinh
'bar sâp hla pơar 'nâu dĭ mai,Hai tập giấy trắng này của chị
'bar tŏ ban,Hai cái bàn
'bar tŏ kơpô,Hai con trâu
'bhŭng beh,Con lợn béo
'gôm ơ̆i,Gồm có
'long hơ'bo 'đuôĭ,Cây ngô cao
'long hơ'bo kơ jung,Cây ngô cao
'măng cham xă,Cái sân rộng
'nhŏng 'noh prăh đĕi mĭnh tŏ xem,Anh ấy bắn được một con chim
'nhŏng 'nŏh năm,Anh ấy đi
'nhŏng bơ dĕĭ bĕ,Anh nên nghỉ ngơi
'nhŏng chă yư̆ng,Anh tìm cái gì ?
'nhŏng hăn vă năm ngôi,Anh đi chơi không ?
'nhŏng hơ,Anh của nó
'nhŏng năm,Anh đi
'nhŏng năm lơ như,Anh đi bao giờ ?
'nhŏng năm mă lâng hŏ,Anh đi đường bình an nhé!
'nhŏng năm tơ như,Anh đi đâu ?
'nhŏng pĭnh bu ?,Anh hỏi ai ?
'nhŏng tam xa,Anh ăn cơm chưa ?
'nhŏng trŭh kơ xơ̆ abri,Anh ấy đến chiều qua
'nhũ,chua
'nhỗng,anh
"'nâu, 'bă ĭnh",Người này là cha tôi
"'nâu, mĭ ĭnh",Người này là mẹ tôi
'năr abri,hổm qua
'năr adrâu 'nhŏng pơ dĕi hŏk,Hôm nay anh ấy nghỉ học
'năr adrâu duch nhơn năm tơ mir,Hôm nay cô ấy lên nương
'năr adrâu kăn hơ xŏh mir,Hôm nay họ đốt rẫy
"'năr ayư̆m, ayư̆ng",Trời ngày càng ấm
'năr dơning,ngày mai
'năr tơ muôh kăn hơ trŭh,Ngày kia họ đến
