Vietnamese,Bahnar,reference,,
"còn người phải chết” (7)., “Rắn lột da sống mãi",""" 'Bih tơ'lŏ hơdrok noh gơh hơrih ling lang, gah kon bơngai noh athei lôch""",Kon Tum\Sử thi Homon\Homon Bahnar.xlsx,,
HỔ VÀ RÙA,'BOK KLA PANG KOP,Kon Tum\Sử thi Homon\Homon Bahnar.xlsx,,
"BÓT RO, CHÀNG HRIT VÀ BÀ CU-KÉ","'BOK RƠH,DĂM H3ỦT PĂNG YĂ KƯ-KE",Kon Tum\Sử thi Homon\Homon Bahnar.xlsx,,
"Lúa bắp nhà lào trồng, hết bị sâu cắn thì bị thú rừng phá hoại, không bị thú rừng phá hoại thì bị đói nắng khát mưa.","'Ba hơ'bo 'bok Rơh pơtăm đĭ hơdrông sa tâng ưh noh kon kiek bri paĭ khâr, ưh noh trŏ phang pơđăng lăng.",Kon Tum\Sử thi Homon\Homon Bahnar.xlsx,,
"Lúa bắp của Hrit trồng mọc tốt như thổi, lan rộng gấp đôi gấp ba so với lúc mới trồng.","'Ba hơ'bo hăp pơtăm hon jing wơ 'bơ'blut thoi đe hlôm, lơlan să hloh kơ pêng puân 'măng hơdroi.",Kon Tum\Sử thi Homon\Homon Bahnar.xlsx,,
Hai học sinh,'Bar me mơnuih pơxrăm,Kon Tum\Điền dã\Ngữ pháp\Bang_ngu_phap_6_KT.xlsx,,
,"'Bar pah bu duh bĭ chill kơ bu, kră pơlei athei pơkă nâr phak wă lơle bu hơlenh bu tơpăt.",Kon Tum\Sử thi Homon\Homon Bahnar.xlsx,,
Hai con trâu,'Bar tŏ kon kơpô,Kon Tum\Điền dã\Ngữ pháp\Bang_ngu_phap_6_KT.xlsx,,
Hai cái bàn,'Bar tŏ kơbang,Kon Tum\Điền dã\Ngữ pháp\Bang_ngu_phap_6_KT.xlsx,,
Hai con ngỗng,'Bar tŏ trong ngong,Kon Tum\Điền dã\Ngữ pháp\Bang_ngu_phap_6_KT.xlsx,,
Hai cây chuối,'Bar tơm prit,Kon Tum\Điền dã\Ngữ pháp\Bang_ngu_phap_6_KT.xlsx,,
Hai tập giấy trắng này của chị,'Bar xâp hla bar kokâu po mơmei,Kon Tum\Điền dã\Ngữ pháp\Bang_ngu_phap_6_KT.xlsx,,
Rắn muốn tranh người để được sông lâu.,'Bih pơjei păng kon bơngai wă gơh erih sot đunh.,Kon Tum\Sử thi Homon\Homon Bahnar.xlsx,,
Nằm màn,'Bik tơ kơmăng,Kon Tum\Điền dã\Ngữ pháp\Bang_ngu_phap_6_KT.xlsx,,
Ria tuôn được ít nước nào đều bị rồng cuốn sạch.,"'Bok Bôt krê boih chă trong wă kơdâu ôn, chŏng tam hơmau đưk kơ'nơl jâng plenh teh jing măng mu glĭp glăp.",Kon Tum\Sử thi Homon\Homon Bahnar.xlsx,,
"Ria hoảng hốt định tìm đường tháo lui, nhưng chưa kịp trở gót, thì trời đất tối tãm mù mịt.","'Bok Bôt oei srơ srang kơtă ăi bre bă kon truh rôp chô̆ hloi chŏng bĭ pơlôch, to'nglaih lê̆ hăp păng tơtă;",Kon Tum\Sử thi Homon\Homon Bahnar.xlsx,,
"Cha con gấu không hề nao núng, chỉ lẩm bẩm mấy câu làm phù chú là nước đổ xuống như mưa.","'Bok Bôt pă kĕ sĭk mĭl sơkat pơm ŭnh sa puân pah dêh, bre bă kon duh bĭ mơn 'yŭ, pôm pơma kơdih làm to "" kuă kiơ đei đak 'mi jur chruih pơđĭ ŭnh"" hơdrĕl noh đei 'mi ruih.",Kon Tum\Sử thi Homon\Homon Bahnar.xlsx,,
Hổ ra uống nước ở một dòng suối gần đấy.,'Bok Kla lech et đak tơ thong iĕ jĕ noh.,Kon Tum\Sử thi Homon\Homon Bahnar.xlsx,,
Hô tường rùa chạy nhanh hon mình thật nên càng cố sức.,'Bok Kla ngih kơ Kop kơdâu hmĕnh hloh kơ hăp tơpă kơ'na hăp rai hơdrin kơ'nôh kơdâu mă hmĕnh loi dâng.,Kon Tum\Sử thi Homon\Homon Bahnar.xlsx,,
"Cọp vừa nói, vừa nhảy xuống.",'Bok Kla pâma rah pàng kotah hloi lâm halung.,Kon Tum\Sử thi Homon\Homon Bahnar.xlsx,,
,'Bok Rah 'yu prit de ka'na bï khïn sa.,Kon Tum\Sử thi Homon\Homon Bahnar.xlsx,,
,"'Bok Rah 'yŭ ŭnh sa hamrok ta mir mă sang patăm 'ba ho'bo, hăp wech rŏng nhâm kadih lâm to.",Kon Tum\Sử thi Homon\Homon Bahnar.xlsx,,
"bò...lấy gan ăn cùng., heo, lên núi hái thuốc cho Rít, rồi dặn chàng cho ông Rơh mồi lần uổng thuốc là mổ một con gà, trâu, Ông Bơ Jàu nghe xong",'Bok Rah chep săng chong duh man jahngâm pran chava dĭ.,Kon Tum\Sử thi Homon\Homon Bahnar.xlsx,,
"Khi dân làng đến đông đủ, ông mới nói:","'Bok Rah dei 4 'nu kon hadruh pràr guàng, tôm de hàp duh sang truh sanàm iok klo.",Kon Tum\Sử thi Homon\Homon Bahnar.xlsx,,
,'Bok Rah duh lê̆ bĭ đei pama kia.,Kon Tum\Sử thi Homon\Homon Bahnar.xlsx,,
,"'Bok Rah kadă, pama plach.",Kon Tum\Sử thi Homon\Homon Bahnar.xlsx,,
,"'Bok Rah khan ka yà Sok ier thoi noh, chong yà Sok ier 'bôh Hrït 'mê kanï, yâ Sok iër bï gan lâp.",Kon Tum\Sử thi Homon\Homon Bahnar.xlsx,,
,"'Bok Rah krao dôm 'màng hâp duh bï riu, 'bâ truh 'nâr dâng hâp potom 'nhâk 'Bok Rah bok ta mir hâp.",Kon Tum\Sử thi Homon\Homon Bahnar.xlsx,,
,"'Bok Rah lu bâ bât, bonê ka Hrït.",Kon Tum\Sử thi Homon\Homon Bahnar.xlsx,,
"Con gái của ông Rơh là nàng Pia Phu, không thấy Rít đâu mới đi tìm.","'Bok Rah nàng lâm mir bre hàp jang monhang bre hàp sang hadrin jang chong tadrong jang tam ma ragei loi, tam dei bu tayâng iok kon hadruh hàp.",Kon Tum\Sử thi Homon\Homon Bahnar.xlsx,,
,"'Bok Rah nâng panhen mïnh 'màng dâng 'bôh mir sà seng, 'ba ha'bo pâng dôm khong nai jing 'lâng jat, 'Bok Rah hôn puk pàk ka 'ba ha'bo jing 'lâng.",Kon Tum\Sử thi Homon\Homon Bahnar.xlsx,,
Hôm nay dân làng chúng ta đi kiểm các cột để làm nhà rông.,"'Bok Rah wà chà ka kân hàp klo ragei juah, pa'nam ka jang.",Kon Tum\Sử thi Homon\Homon Bahnar.xlsx,,
Ông nhờ Rít đi tìm một BơJâu để chữa cho mình.,'Bok Rah ăn hăp mă ya hăp duh chê iĕ.,Kon Tum\Sử thi Homon\Homon Bahnar.xlsx,,
Bot Ría liền ra lệnh cho con rể là chàng Đãm Xoa đến bắt anh em Rít.,'Bok Ria athei ŏng hăp jĭ Dăm San năm rôp bre 'Hrĭt.,Kon Tum\Sử thi Homon\Homon Bahnar.xlsx,,
"Bot Rot sai gà chọi đến mỗ thì mỏ gà bị quặp, sai chó săn đến cắn thì răng chó bị gẫy.","'Bok Rơh athei iĕr tơmỏns; năm joh ier choh kŏnh kơdih, athei kŏ lua năm kăp, kŏ duh tơgơ̆ hơnenh.",Kon Tum\Sử thi Homon\Homon Bahnar.xlsx,,
Tam-cứ-tróc bảo ít ức xuống đất tin cho người biết.,'Bok Rơh athei kơnôr ĭch jur tơ kơpal teh năm pơ tang kơ kon bomgai lơìé.,Kon Tum\Sử thi Homon\Homon Bahnar.xlsx,,
"Khi nhà rông sắp dựng lên, ông Rơh mới đến hỏi Rít xem nên dựng cây cột thần kia ở đâu.","'Bok Rơh chă rơih jâp taring bĭ đei bu tơyâng wă ăn oei kơ kon hơdruch hăp, 'Bok Rơh tŏđon păns sa'ngon.",Kon Tum\Sử thi Homon\Homon Bahnar.xlsx,,
Bót Rơ lại vác nỏ ra bắn đuổi.,'Bok Rơh duh iŏk hră pơnah lơlăi thoi yă -ke dĭ chŏng bĭ trŏ yang Sơ-ri.,Kon Tum\Sử thi Homon\Homon Bahnar.xlsx,,
"Bót Rơ thì giàu có. Nhà lão nồi đồng nhiều như ốc sên, chiêng đồng lắm như đá ngoài bờ suối, ché quý đựng rượu cũng lắm, xếp đầy nhà.","'Bok Rơh jĭ bơngai pơdrŏng, đei gŏ bìáng hlunh hlanh thoi yă tơlê̆, chĭng chêng thoi tơmo lâm thong, ge sik duh lơ krâch krăch 'bĕnh lâm hnam, hrĕng hrai kơpô, rơmo, đĭch dam.",Kon Tum\Sử thi Homon\Homon Bahnar.xlsx,,
Tiếng đồn về chàng Hơ- rít nghèo nhưng tôt bụng vang cả nãm mười bển nước đầu đèo.,'Bok Rơh kơtâng đe ư Hrĭt hin dơnuh chŏng đei đon bơnôh 'lâng.,Kon Tum\Sử thi Homon\Homon Bahnar.xlsx,,
,'Bok Rơh lôch laĭ thoi hơdrông lôch kro làm bri.,Kon Tum\Sử thi Homon\Homon Bahnar.xlsx,,
"Bot Rot tức giận quát mang ầm ĩ, sai quân lính nhà trời đi vây bắt kẻ nào phá hoại.","'Bok Rơh mĭl lach kơ hăp, athei lĭnh dâng plenh Wang rôp bu mă paĭ khâr hnam hăp.",Kon Tum\Sử thi Homon\Homon Bahnar.xlsx,,
"Rít bảo không biết vì chàng thấy cô nào cŭng đê̆u xinh đẹp, Trò chuyện được một lúc, cô chị mới hỏi Rít trong ba chị em thì chàng muốn lấy ai, dịu dàng.",'Bok Rơh năns lăp kơ đon jat.,Kon Tum\Sử thi Homon\Homon Bahnar.xlsx,,
Bót Rơ giàu có nhưng keo kiệt.,'Bok Rơh pơdrŏng chŏng kret pơxet.,Kon Tum\Sử thi Homon\Homon Bahnar.xlsx,,
"Lão buộc già, gái, trai trong buôn phải nộp lề mừng, trẻ, và bắt rất nhiều người tới phục dịch buổi lễ của nhà lão.","'Bok Rơh pơkăl, kră, hơmuh, drănglo, dră kăn lâm pơlei athei tơra khong tơmam wă et so păng athei rĭm 'nu năm hơvih kơ ŭnh hnam hăp.",Kon Tum\Sử thi Homon\Homon Bahnar.xlsx,,
"Bot Rot trả lời rõ ràng là “người lột da sống mãi, còn rắn phải chêt”.","'Bok Rơh tơl tơdah kơ kơnôr ĭch lĕ "" Kon bơngai hơ'blih hơkar hơrih ling lang, gah 'bih athei lôch"".",Kon Tum\Sử thi Homon\Homon Bahnar.xlsx,,
Lão ra lệnh cho tôi tớ đánh chiêng rộn rịp.,'Bok athei đĭch dam tôh chêng hơxuang rơđŭk rơđăk.,Kon Tum\Sử thi Homon\Homon Bahnar.xlsx,,
"thấy mặt đất đỏ tựa da cam sành, trống trơ vắng vẻ mới hay đưọc sai sót của thần sấm sét., Ông ta vén mây nhìn xuống trần gian","'Bok hrê̆ năng tơ kơpal teh 'bôh teh 'brê kơhâng, rơhŭl rơhăi pă 'bôh mình joi 'long noh 'bok pơtơm lơlĕ tơdrong Yang Grain, Yang Glaih thoi yơ.",Kon Tum\Sử thi Homon\Homon Bahnar.xlsx,,
"Chú lẳng lặng đứng dậy vươn vai một cải thì tự nhiên cao lớn hẳn lên, áo quần cũ mẹ chú may cho chú bị xé toan«.","'Bok iĕ đưk ti hơdar hơdeh kơdrăt 'bôh hăp tih kơjung rơngôch, hơbĕn ao hăp hrâp hiah goh.",Kon Tum\Sử thi Homon\Homon Bahnar.xlsx,,
Ông già tính tình vui vẽ,'Bok kră đu bơnôh xô̆xôn,Kon Tum\Điền dã\Ngữ pháp\Bang_ngu_phap_6_KT.xlsx,,
Ông của các anh,'Bok po đe'nhŏng,Kon Tum\Điền dã\Ngữ pháp\Bang_ngu_phap_6_KT.xlsx,,
"bà mới hỏi ông Rơh:, Đen nơi",'Bok tacheng.,Kon Tum\Sử thi Homon\Homon Bahnar.xlsx,,
"Chàng thanh niên thấy vậy mừng lắm, vội chạy lại với lấy chiếc ngà voi bịt lại làm cho nàng không còn đường lẩn trốn.","'Bok tơdăm 'bôh thoi noh pă kĕ hâk, tơluh năm iŏk pơla rôih đâp hloi wă bia pă gơh mŭt lâm noh.",Kon Tum\Sử thi Homon\Homon Bahnar.xlsx,,
"Chàng trai tìm đến gặp già làng, chàng kể cho già làng nghe vê̆ chuyện dòng nước và cô gái, rồi dẫn gìa làng đi xem.","'Bok tơdăm năm jrâm kră pơlei, hăp poră kơ kră pơlei păng, gah tơdrong thong đak păng 'bok hơdruh, klaih noh 'nhăk kră pơlei năm năng.",Kon Tum\Sử thi Homon\Homon Bahnar.xlsx,,
"Chàng trai lo lắm, lấy gì mà chọi., nhà không có trâu","'Bok tơdăm âu sơ'ngon pă lĕ pơm thoi yơ, hnam duh bĭ đei kơpô dĭ le iŏk kiơ wă tơjĭl păns kơpô pơtau.",Kon Tum\Sử thi Homon\Homon Bahnar.xlsx,,
Hối hận vì lôi xưa lười nhác đã đê mẹ nhịn phân ăn cho mình mà chêt đói sớm nên đàn con hóa ong nọ sớm chiều chuyên cần đi tìm hoa hút nhụy về làm mật làm sáp đê nuôi mẹ.,"'Buah kơ kăn hăp sang hơlah kơ̆ bơ̆ jang, mĕ sang hrah kơ'na mĕ lôch hrôih.",Kon Tum\Sử thi Homon\Homon Bahnar.xlsx,,
