num,text,title
1, Adriêng tômaên bal biê chu ñoâng chruh ñak thoi köê 5 – 7 hang pôm minh trong thoat ñak,Bình Định\Sửa từ điển_câu.xlsx
2, Jô ti kjung,Bình Định\Sửa từ điển_câu.xlsx
3," Kjung tôdrong pôñam ‘bôl ñon, ngoê hnhei. Giam sat, thanh tra chuyeân nganh",Bình Định\Sửa từ điển_câu.xlsx
4, ÔÊi bu pinh ‘yöêng inh biê,Bình Định\Sửa từ điển_câu.xlsx
5,"""bao đam an ninh chĭnh trĭ, trâ̆t tư̆ an toan xa hô̆i bĭ ăn lach điêm tơnŏ, dui kơđeh trŏng an, kim chê̆ tô̆i pham, tai nan giao thông dui kơđeh so adring xơnăm 'bal hbâu minh jĭt pơđăm, pơjao kuân đat chi tiêu lach.",Bình Định\Văn bản phát thanh\KT-XH\KT-XH bai 43.xlsx
6,'Ban Pêng 'nâu 'nhŏng,Bình Định\Điền dã\Ngữ pháp\Bang_ngu_phap_7_BD.xlsx
7,'Ban koan ly̆ lich sư -  văn hŏa xưm yanh lam thăng kanh tinh 'Binh Đĭnh (Chih tăt 'nĕi 'Ban koan ly̆ Yi tich),Bình Định\Văn bản phát thanh\VH-TT\VH-TT bai 25.xlsx
8,"'Bang nghiêm thu, 'bang thanh li hơp đông păng 'bang kuyêt toan đei yuêt dĭ kơpal đâu tư adrĭng khôi lươ̆ng tơgǔm pơm chơ đêh têh bal, keh kong tơdrong trong xe, thuy lơi nôi đông, tơdrong ǔnh rang tơgǔm choh jang nông nghiêp;",Bình Định\Văn bản phát thanh\TT-CS\TT-CS bai 60.xlsx
9,'Bar 'nu hơ ioh hnam trương,Bình Định\Điền dã\Ngữ pháp\Ngữ pháp.xlsx
10,'Bar hlah 'long pit,Bình Định\Điền dã\Ngữ pháp\Bang_ngu_phap_7_BD.xlsx
11,'Bar tŏ 'long pit,Bình Định\Điền dã\Ngữ pháp\Ngữ pháp.xlsx
12,'Bar tŏ kơ pô,Bình Định\Điền dã\Ngữ pháp\Ngữ pháp.xlsx
13,"'Bar tơ ning, 'năr đim lĕch ĭnh jâh năm bơih",Bình Định\Điền dã\Ngữ pháp\Ngữ pháp.xlsx
14,'Bar xâp hla bơar 'bak 'nâu dĭ mai,Bình Định\Điền dã\Ngữ pháp\Ngữ pháp.xlsx
15,"'Bar, pêng 'nu 'nhŏng",Bình Định\Điền dã\Ngữ pháp\Ngữ pháp.xlsx
16,'Binh Đinh hăm ơí bơngai,Bình Định\Từ điển Kriem\Câu.xlsx
17,'Boi Kuyêt đĭnh sô 731/ QĐ- BNN-QLCL 'năr 06 khĕi 3 sơnăm 2019 dĭ 'Bô Khul 'Bô Nông nghiêp păng  phat triên nông thôn ( Phu luk 01 kem tĭa),Bình Định\Văn bản phát thanh\TT-CS\TT-CS bai 54.xlsx
18,'Bok 'yĕm 'nhŏng,Bình Định\Điền dã\Ngữ pháp\Bang_ngu_phap_7_BD.xlsx
19,'Bok ayơĭ 'mi,Bình Định\Điền dã\Ngữ pháp\Ngữ pháp.xlsx
20,'Bok iĕm 'nhŏng,Bình Định\Điền dã\Ngữ pháp\Ngữ pháp.xlsx
21,'Bok jê̆ 'mi,Bình Định\Điền dã\Ngữ pháp\Ngữ pháp.xlsx
22,"'Bok kmi đâng kơ xâ abi, trŭh ahreĭ ară 'mi",Bình Định\Điền dã\Ngữ pháp\Ngữ pháp.xlsx
23,'Bok kră nŏh bui,Bình Định\Điền dã\Ngữ pháp\Ngữ pháp.xlsx
24,'Bok plănh tơngiêt ĭnh kŭng năm pơm,Bình Định\Điền dã\Ngữ pháp\Ngữ pháp.xlsx
25,'Bok vă 'mi,Bình Định\Điền dã\Ngữ pháp\Ngữ pháp.xlsx
26,'Bă năm tơ bri kŏh 'long,"Bình Định\Điền dã\Ngữ pháp\Bang_ngu_phap_7_BD.xlsx, Bình Định\Điền dã\Ngữ pháp\Ngữ pháp.xlsx"
27,'Bă oeĭ hep thuôk,Bình Định\Điền dã\Ngữ pháp\Ngữ pháp.xlsx
28,'Bă oĕi hĕp thuôk,Bình Định\Điền dã\Ngữ pháp\Bang_ngu_phap_7_BD.xlsx
29,'Bă đim trŭh tơ hngam yĭh xơhnăm,Bình Định\Điền dã\Ngữ pháp\Bang_ngu_phap_7_BD.xlsx
30,'Bă đim xưh,Bình Định\Điền dã\Ngữ pháp\Bang_ngu_phap_7_BD.xlsx
31,'Bă đim xưt,Bình Định\Điền dã\Ngữ pháp\Ngữ pháp.xlsx
32,'Bă ĭnh,"Bình Định\Điền dã\Ngữ pháp\Bang_ngu_phap_7_BD.xlsx, Bình Định\Điền dã\Ngữ pháp\Ngữ pháp.xlsx"
33,"'Bă ĭnh năm tơ bri , ĭnh oeĭ hnam",Bình Định\Điền dã\Ngữ pháp\Ngữ pháp.xlsx
34,'Bĭch kơ mung,Bình Định\Điền dã\Ngữ pháp\Bang_ngu_phap_7_BD.xlsx
35,'Bĭch kơ mŭng,Bình Định\Điền dã\Ngữ pháp\Ngữ pháp.xlsx
36,'Long pơtăm tơgum,Bình Định\Văn bản phát thanh\TT-CS\TT-CS bai 63.xlsx
