bahnar,vietnamese,reference
""" 'Bih tơ'lŏ hơdrok noh gơh hơrih ling lang, gah kon bơngai noh athei lôch""","còn người phải chết” (7)., “Rắn lột da sống mãi",Kon Tum\Sử thi Homon\Homon Bahnar.xlsx
'BOK KLA PANG KOP,HỔ VÀ RÙA,Kon Tum\Sử thi Homon\Homon Bahnar.xlsx
"'BOK RƠH,DĂM H3ỦT PĂNG YĂ KƯ-KE","BÓT RO, CHÀNG HRIT VÀ BÀ CU-KÉ",Kon Tum\Sử thi Homon\Homon Bahnar.xlsx
"'Ba hơ'bo 'bok Rơh pơtăm đĭ hơdrông sa tâng ưh noh kon kiek bri paĭ khâr, ưh noh trŏ phang pơđăng lăng.","Lúa bắp nhà lào trồng, hết bị sâu cắn thì bị thú rừng phá hoại, không bị thú rừng phá hoại thì bị đói nắng khát mưa.",Kon Tum\Sử thi Homon\Homon Bahnar.xlsx
"'Ba hơ'bo hăp pơtăm hon jing wơ 'bơ'blut thoi đe hlôm, lơlan să hloh kơ pêng puân 'măng hơdroi.","Lúa bắp của Hrit trồng mọc tốt như thổi, lan rộng gấp đôi gấp ba so với lúc mới trồng.",Kon Tum\Sử thi Homon\Homon Bahnar.xlsx
'Bar me mơnuih pơxrăm,Hai học sinh,Kon Tum\Điền dã\Ngữ pháp\Bang_ngu_phap_6_KT.xlsx
"'Bar pah bu duh bĭ chill kơ bu, kră pơlei athei pơkă nâr phak wă lơle bu hơlenh bu tơpăt.",,Kon Tum\Sử thi Homon\Homon Bahnar.xlsx
'Bar tŏ kon kơpô,Hai con trâu,Kon Tum\Điền dã\Ngữ pháp\Bang_ngu_phap_6_KT.xlsx
'Bar tŏ kơbang,Hai cái bàn,Kon Tum\Điền dã\Ngữ pháp\Bang_ngu_phap_6_KT.xlsx
'Bar tŏ trong ngong,Hai con ngỗng,Kon Tum\Điền dã\Ngữ pháp\Bang_ngu_phap_6_KT.xlsx
'Bar tơm prit,Hai cây chuối,Kon Tum\Điền dã\Ngữ pháp\Bang_ngu_phap_6_KT.xlsx
'Bar xâp hla bar kokâu po mơmei,Hai tập giấy trắng này của chị,Kon Tum\Điền dã\Ngữ pháp\Bang_ngu_phap_6_KT.xlsx
'Bih pơjei păng kon bơngai wă gơh erih sot đunh.,Rắn muốn tranh người để được sông lâu.,Kon Tum\Sử thi Homon\Homon Bahnar.xlsx
'Bik tơ kơmăng,Nằm màn,Kon Tum\Điền dã\Ngữ pháp\Bang_ngu_phap_6_KT.xlsx
"'Bok Bôt krê boih chă trong wă kơdâu ôn, chŏng tam hơmau đưk kơ'nơl jâng plenh teh jing măng mu glĭp glăp.",Ria tuôn được ít nước nào đều bị rồng cuốn sạch.,Kon Tum\Sử thi Homon\Homon Bahnar.xlsx
"'Bok Bôt oei srơ srang kơtă ăi bre bă kon truh rôp chô̆ hloi chŏng bĭ pơlôch, to'nglaih lê̆ hăp păng tơtă;","Ria hoảng hốt định tìm đường tháo lui, nhưng chưa kịp trở gót, thì trời đất tối tãm mù mịt.",Kon Tum\Sử thi Homon\Homon Bahnar.xlsx
"'Bok Bôt pă kĕ sĭk mĭl sơkat pơm ŭnh sa puân pah dêh, bre bă kon duh bĭ mơn 'yŭ, pôm pơma kơdih làm to "" kuă kiơ đei đak 'mi jur chruih pơđĭ ŭnh"" hơdrĕl noh đei 'mi ruih.","Cha con gấu không hề nao núng, chỉ lẩm bẩm mấy câu làm phù chú là nước đổ xuống như mưa.",Kon Tum\Sử thi Homon\Homon Bahnar.xlsx
'Bok Kla lech et đak tơ thong iĕ jĕ noh.,Hổ ra uống nước ở một dòng suối gần đấy.,Kon Tum\Sử thi Homon\Homon Bahnar.xlsx
'Bok Kla ngih kơ Kop kơdâu hmĕnh hloh kơ hăp tơpă kơ'na hăp rai hơdrin kơ'nôh kơdâu mă hmĕnh loi dâng.,Hô tường rùa chạy nhanh hon mình thật nên càng cố sức.,Kon Tum\Sử thi Homon\Homon Bahnar.xlsx
'Bok Kla pâma rah pàng kotah hloi lâm halung.,"Cọp vừa nói, vừa nhảy xuống.",Kon Tum\Sử thi Homon\Homon Bahnar.xlsx
'Bok Rah 'yu prit de ka'na bï khïn sa.,,Kon Tum\Sử thi Homon\Homon Bahnar.xlsx
"'Bok Rah 'yŭ ŭnh sa hamrok ta mir mă sang patăm 'ba ho'bo, hăp wech rŏng nhâm kadih lâm to.",,Kon Tum\Sử thi Homon\Homon Bahnar.xlsx
'Bok Rah chep săng chong duh man jahngâm pran chava dĭ.,"bò...lấy gan ăn cùng., heo, lên núi hái thuốc cho Rít, rồi dặn chàng cho ông Rơh mồi lần uổng thuốc là mổ một con gà, trâu, Ông Bơ Jàu nghe xong",Kon Tum\Sử thi Homon\Homon Bahnar.xlsx
"'Bok Rah dei 4 'nu kon hadruh pràr guàng, tôm de hàp duh sang truh sanàm iok klo.","Khi dân làng đến đông đủ, ông mới nói:",Kon Tum\Sử thi Homon\Homon Bahnar.xlsx
'Bok Rah duh lê̆ bĭ đei pama kia.,,Kon Tum\Sử thi Homon\Homon Bahnar.xlsx
"'Bok Rah kadă, pama plach.",,Kon Tum\Sử thi Homon\Homon Bahnar.xlsx
"'Bok Rah khan ka yà Sok ier thoi noh, chong yà Sok ier 'bôh Hrït 'mê kanï, yâ Sok iër bï gan lâp.",,Kon Tum\Sử thi Homon\Homon Bahnar.xlsx
"'Bok Rah krao dôm 'màng hâp duh bï riu, 'bâ truh 'nâr dâng hâp potom 'nhâk 'Bok Rah bok ta mir hâp.",,Kon Tum\Sử thi Homon\Homon Bahnar.xlsx
"'Bok Rah lu bâ bât, bonê ka Hrït.",,Kon Tum\Sử thi Homon\Homon Bahnar.xlsx
"'Bok Rah nàng lâm mir bre hàp jang monhang bre hàp sang hadrin jang chong tadrong jang tam ma ragei loi, tam dei bu tayâng iok kon hadruh hàp.","Con gái của ông Rơh là nàng Pia Phu, không thấy Rít đâu mới đi tìm.",Kon Tum\Sử thi Homon\Homon Bahnar.xlsx
"'Bok Rah nâng panhen mïnh 'màng dâng 'bôh mir sà seng, 'ba ha'bo pâng dôm khong nai jing 'lâng jat, 'Bok Rah hôn puk pàk ka 'ba ha'bo jing 'lâng.",,Kon Tum\Sử thi Homon\Homon Bahnar.xlsx
"'Bok Rah wà chà ka kân hàp klo ragei juah, pa'nam ka jang.",Hôm nay dân làng chúng ta đi kiểm các cột để làm nhà rông.,Kon Tum\Sử thi Homon\Homon Bahnar.xlsx
'Bok Rah ăn hăp mă ya hăp duh chê iĕ.,Ông nhờ Rít đi tìm một BơJâu để chữa cho mình.,Kon Tum\Sử thi Homon\Homon Bahnar.xlsx
'Bok Ria athei ŏng hăp jĭ Dăm San năm rôp bre 'Hrĭt.,Bot Ría liền ra lệnh cho con rể là chàng Đãm Xoa đến bắt anh em Rít.,Kon Tum\Sử thi Homon\Homon Bahnar.xlsx
"'Bok Rơh athei iĕr tơmỏns; năm joh ier choh kŏnh kơdih, athei kŏ lua năm kăp, kŏ duh tơgơ̆ hơnenh.","Bot Rot sai gà chọi đến mỗ thì mỏ gà bị quặp, sai chó săn đến cắn thì răng chó bị gẫy.",Kon Tum\Sử thi Homon\Homon Bahnar.xlsx
'Bok Rơh athei kơnôr ĭch jur tơ kơpal teh năm pơ tang kơ kon bomgai lơìé.,Tam-cứ-tróc bảo ít ức xuống đất tin cho người biết.,Kon Tum\Sử thi Homon\Homon Bahnar.xlsx
"'Bok Rơh chă rơih jâp taring bĭ đei bu tơyâng wă ăn oei kơ kon hơdruch hăp, 'Bok Rơh tŏđon păns sa'ngon.","Khi nhà rông sắp dựng lên, ông Rơh mới đến hỏi Rít xem nên dựng cây cột thần kia ở đâu.",Kon Tum\Sử thi Homon\Homon Bahnar.xlsx
'Bok Rơh duh iŏk hră pơnah lơlăi thoi yă -ke dĭ chŏng bĭ trŏ yang Sơ-ri.,Bót Rơ lại vác nỏ ra bắn đuổi.,Kon Tum\Sử thi Homon\Homon Bahnar.xlsx
"'Bok Rơh jĭ bơngai pơdrŏng, đei gŏ bìáng hlunh hlanh thoi yă tơlê̆, chĭng chêng thoi tơmo lâm thong, ge sik duh lơ krâch krăch 'bĕnh lâm hnam, hrĕng hrai kơpô, rơmo, đĭch dam.","Bót Rơ thì giàu có. Nhà lão nồi đồng nhiều như ốc sên, chiêng đồng lắm như đá ngoài bờ suối, ché quý đựng rượu cũng lắm, xếp đầy nhà.",Kon Tum\Sử thi Homon\Homon Bahnar.xlsx
'Bok Rơh kơtâng đe ư Hrĭt hin dơnuh chŏng đei đon bơnôh 'lâng.,Tiếng đồn về chàng Hơ- rít nghèo nhưng tôt bụng vang cả nãm mười bển nước đầu đèo.,Kon Tum\Sử thi Homon\Homon Bahnar.xlsx
'Bok Rơh lôch laĭ thoi hơdrông lôch kro làm bri.,,Kon Tum\Sử thi Homon\Homon Bahnar.xlsx
"'Bok Rơh mĭl lach kơ hăp, athei lĭnh dâng plenh Wang rôp bu mă paĭ khâr hnam hăp.","Bot Rot tức giận quát mang ầm ĩ, sai quân lính nhà trời đi vây bắt kẻ nào phá hoại.",Kon Tum\Sử thi Homon\Homon Bahnar.xlsx
